rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/time_elapsed,time/fps,time/total_timesteps,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/entropy_loss,train/loss,train/learning_rate,train/n_updates,train/approx_kl,train/value_loss
802,6016.25,1032.54179049,257853,8212480,31,-0.003901355024136137,8010,0.0038174986839294434,44.56243556052446,0.005309702,0.043212890625,27.07699203491211,-0.6372936809062958,0.2,5.969999999999998e-05
803,6013.97,1032.35053417,258010,8222720,31,-0.0029685164874535984,8020,0.014782726764678955,23.04016110122204,0.005096433,0.036240234375,0.628180205821991,-0.6581294901669026,0.2,5.939999999999998e-05
804,6013.67,1032.27867602,258174,8232960,31,-0.00430957288830541,8030,0.006581604480743408,44.70374152779579,0.006315826,0.056689453125,1.9981955289840698,-0.6968001119792462,0.2,5.909999999999998e-05
805,6018.09,1031.8686648,258341,8243200,31,-0.0043747337552485985,8040,0.0069828033447265625,44.952036896049975,0.005591774,0.048662109375,2.2560999393463135,-0.6692147347331047,0.2,5.879999999999998e-05
806,6019.44,1031.75973049,259338,8253440,31,-0.0024870212125824766,8050,0.02339273691177368,44.84230535775423,0.0056172083,0.029716796875,10.345772743225098,-0.6523478345572948,0.2,5.849999999999998e-05
807,6018.35,1031.7518755400001,259502,8263680,31,-0.002222117712663021,8060,0.03586655855178833,22.49879520907998,0.004421594,0.022275390625,2.0631003379821777,-0.6452026590704918,0.2,5.819999999999998e-05
808,6016.81,1031.8395331400002,259664,8273920,31,-0.002423890937061515,8070,0.00691145658493042,44.523488401174546,0.0044201915,0.020322265625,14.009427070617676,-0.653420798778534,0.2,5.789999999999998e-05
809,6017.07,1031.8516115999998,259806,8284160,31,-0.0031616750644752755,8080,0.012282609939575195,45.19288444340229,0.0044386224,0.0255859375,24.097148895263672,-0.6601032094657421,0.2,5.759999999999998e-05
810,6020.13,1031.62069643,259962,8294400,31,-0.003212794534629211,8090,0.013822674751281738,22.86302156686783,0.0045045773,0.034892578125,0.5719215869903564,-0.6434509260952472,0.2,5.7299999999999977e-05
811,6020.67,1031.39816091,260972,8304640,31,-0.002278678301954642,8100,0.007368147373199463,44.40951145529747,0.0043433085,0.02357421875,2.2208690643310547,-0.6479937043786049,0.2,5.6999999999999976e-05
812,6017.85,1031.47561203,261136,8314880,31,-0.0023658350040204825,8110,-0.009127140045166016,44.906686545312404,0.0036065667,0.0128125,24.196834564208984,-0.6700346893072129,0.2,5.6699999999999976e-05
813,6019.91,1031.3397756599998,261272,8325120,31,-0.002539072075742297,8120,0.0006477832794189453,45.036960561275485,0.0039384454,0.0268359375,48.17030715942383,-0.6721538136899471,0.2,5.639999999999998e-05
814,6015.7,1031.4081812399997,261432,8335360,31,-0.0034413163617136888,8130,0.003642261028289795,23.53734308719635,0.005030925,0.041083984375,5.158867835998535,-0.656077968031168,0.2,5.610000000000001e-05
815,6017.09,1031.2189842399998,261597,8345600,31,-0.0021528210886754095,8140,0.0062424540519714355,44.39063174039126,0.004882639,0.0191796875,29.637361526489258,-0.6642875103652477,0.2,5.5800000000000015e-05
816,6017.78,1030.98356906,262585,8355840,31,-0.0037896160827949645,8150,0.01652228832244873,44.35836436629295,0.0049826936,0.048212890625,1.0645095109939575,-0.679809512346983,0.2,5.5500000000000014e-05
817,6019.83,1030.7373428699998,262740,8366080,31,-0.002301939367025625,8160,-0.011605501174926758,23.382576239556073,0.0041519925,0.016494140625,1.6354001760482788,-0.686692048162222,0.2,5.5200000000000014e-05
818,6020.27,1030.5336186,262903,8376320,31,-0.0033525516971712934,8170,0.0003902316093444824,45.43942249000072,0.0041684364,0.0187109375,38.592655181884766,-0.6576777972280979,0.2,5.490000000000001e-05
819,6015.53,1030.63624124,263069,8386560,31,-0.0026631121328682637,8180,0.001055300235748291,45.20230161845684,0.0034492158,0.012890625,12.257899284362793,-0.6661393344402313,0.2,5.460000000000001e-05
820,6013.92,1030.71376569,263205,8396800,31,-0.002366285603493452,8190,0.003272533416748047,45.37596290051937,0.004859605,0.015087890625,0.9226950407028198,-0.6748672612011433,0.2,5.430000000000001e-05
821,6013.46,1030.8375826299998,264210,8407040,31,-0.0039797228979296054,8200,-0.0021764039993286133,23.027016238868235,0.0042033657,0.02728515625,15.988081932067871,-0.6617292097210884,0.2,5.400000000000001e-05
822,6019.76,1030.79615707,264373,8417280,31,-0.0012176361260935664,8210,0.000985860824584961,44.91250171810388,0.0019211151,0.004501953125,24.7177791595459,-0.7033552868664265,0.2,5.370000000000001e-05
823,6020.99,1030.74304833,264513,8427520,31,-0.0035339888295857235,8220,0.001073002815246582,45.21979390770197,0.005053649,0.038955078125,1.3660857677459717,-0.6634398947656155,0.2,5.340000000000001e-05
824,6021.69,1030.65740409,264672,8437760,31,-0.0037777659347921146,8230,0.005602419376373291,23.25110604465008,0.0043820757,0.0323046875,22.001510620117188,-0.6501643899083137,0.2,5.310000000000001e-05
825,6022.3,1030.53342787,264834,8448000,31,-0.0019290466757956892,8240,0.004401147365570068,44.30056408852339,0.005015851,0.031591796875,8.005162239074707,-0.6430340118706226,0.2,5.280000000000001e-05
