#{"t_start": 1776093006.9713504, "env_id": "None"}
r,l,t
1012.974974,6126,68651.71547
1029.009622,6061,68736.659959
1022.07083,6070,68816.058368
1014.499939,6088,69612.995591
1028.560764,5902,69697.343649
1026.472652,6062,69789.124147
1017.195869,6166,69882.248109
1027.691984,5855,69970.406924
1028.325608,6115,70058.813878
1027.088636,5909,70147.722827
1034.646084,5946,70233.770669
1037.686509,5904,70319.109349
1032.690761,5968,70406.647883
1006.30555,6242,71308.375166
1013.066983,6141,71398.316846
1024.267906,6098,71488.567185
1009.072273,6152,71579.483739
1024.625435,5976,71670.150493
1018.141237,6149,71761.854969
1013.600049,6093,71851.689066
1014.162196,6061,71942.975724
1020.00805,6151,72031.26682
1021.190619,6184,72119.306902
1032.412329,5813,72981.049558
1037.216734,5858,73068.240331
1013.296313,6000,73157.78746
1031.05692,5812,73245.721643
1018.934694,6046,73335.61623
1015.87706,6158,73428.97989
1016.510274,6037,73516.669171
1028.313019,5963,73605.848969
1010.883941,6182,73695.112017
1019.149985,6131,73782.926593
1018.979404,6136,74688.71053
1028.443889,5892,74775.716648
1028.61149,5887,74862.843656
1017.573669,6076,74951.629112
1025.89966,5852,75040.177634
1014.524321,6201,75131.206429
1022.299485,6009,75221.569982
1019.113692,6196,75309.898265
1014.438395,6262,75399.15929
1008.983094,6031,75486.191262
1029.723794,5913,76352.57122
1017.278969,5833,76439.025211
1024.976531,6096,76529.381961
1024.718196,5960,76618.303976
1014.637761,6183,76709.627308
1039.162738,5825,76797.453619
1016.578307,5933,76886.419511
1006.22024,6106,76974.238805
1018.031952,6092,77064.132617
1029.93695,5934,77149.306358
1026.836547,6110,78032.295279
1033.87351,5983,78117.333883
1014.086278,5925,78201.040143
1033.195947,5881,78280.788772
1022.06429,6151,78362.612695
1017.825814,6115,78446.704351
1016.235944,6213,78527.978417
1027.984549,6023,78607.975737
1038.568106,5887,78685.714518
1026.765281,6000,78763.9702
1029.476334,5920,79548.792179
1036.221332,5902,79629.038754
1025.203347,5910,79707.514085
1030.812495,6072,79789.259253
1019.02006,5962,79868.121379
1020.828179,5891,79948.74365
1030.432712,5994,80028.723881
1016.004592,5978,80108.218408
1023.60235,6074,80191.13369
1024.08484,6031,80272.626968
1027.621889,5844,81092.756882
1016.086716,6308,81174.929298
1020.315249,6107,81255.961598
1023.833625,6309,81339.621095
1020.024779,6060,81421.17101
1026.56836,6052,81502.671383
1021.859971,6100,81584.006073
1021.466064,6004,81664.279763
1034.547088,5878,81743.372878
1019.109862,6200,81825.51339
1028.323562,6028,82628.93842
1011.47584,6100,82710.247276
1015.300242,6101,82791.177855
1020.602679,5970,82871.275989
1018.747837,6067,82952.247256
1028.831545,6029,83031.953539
1024.512793,6005,83112.51586
1027.023534,6099,83193.174555
1031.30466,5882,83271.338977
1015.508681,6016,83351.508914
1018.526223,6065,84161.42305
1032.251266,5961,84244.391943
1022.183061,5870,84324.059583
1032.054762,5899,84402.593064
1014.060128,6254,84484.858934
1022.013535,6056,84565.340751
1023.536793,5991,84645.548258
1024.100114,5994,84725.461507
1028.130042,5979,84812.523021
1027.836418,5943,84893.945035
1026.725987,5932,85695.879352
1035.303763,6024,85775.393165
1017.027562,6226,85859.476788
1034.141442,5918,85938.344432
1040.098751,5731,86017.159404
1014.15558,6100,86099.254444
1016.85855,6179,86180.624818
1031.301977,5792,86261.272987
1037.616486,5834,86340.272502
1027.196301,5944,86420.641867
1024.414613,6082,87237.793812
1016.79565,6131,87317.894541
1023.761801,6071,87398.825283
1018.87278,6085,87478.770286
1029.065029,5861,87557.619613
1031.345019,5876,87636.603249
1035.100416,5841,87714.023052
1031.736943,5972,87794.385556
1025.330029,6054,87875.238845
1022.200432,6166,87957.246698
1033.718442,6058,88752.48983
1024.996779,6098,88831.882059
1043.672803,5744,88909.99996
1037.174733,5856,88987.716313
1019.386619,5964,89066.86909
1015.279641,6119,89149.311233
1031.325727,5914,89228.587504
1023.885801,6032,89309.700969
1033.82048,5965,89388.906434
1030.105995,6039,89468.420141
1021.027656,6184,90287.331198
1026.500469,6123,90367.960278
1023.565746,6193,90450.099845
1034.158922,6042,90530.033492
1021.725784,5944,90608.76754
1026.73942,6063,90689.314883
1028.244349,6059,90768.961641
